"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00000008740",608.721350223632,-0.679691171876119,0.238523352332173,-2.84957915118334,0.00437771117169559,0.0522682019239205
"ENSGALG00000027861",69.9270961298181,-0.724171868977437,0.310972181050724,-2.32873521525488,0.0198730973270046,0.118477812819532
"ENSGALG00000008755",53.2237495461012,0.34688730686176,0.243865909270834,1.42245100144979,0.154895366276463,0.380684468098086
"ENSGALG00000008761",6.89193117847422,-0.920101512992521,0.366547694911449,-2.51018223757975,0.0120668870028861,0.0897396773717717
"ENSGALG00000008776",0.0964700921994836,-0.00704184100047394,0.144220031998053,-0.048827065858431,0.961057112458593,NA
"ENSGALG00000008797",339.490644702983,0.15855965989912,0.140663625877789,1.12722574090959,0.25964704985241,0.508246248504084
"ENSGALG00000008805",0.200894541952277,0.170155230467601,0.172902247795337,0.984112309916364,0.325060294981025,NA
"ENSGALG00000008814",1.00680990096757,0.815334488422076,0.332663430337395,2.45092911954628,0.0142488008524955,NA
"ENSGALG00000008821",667.255907139666,0.329939233043296,0.215282965662034,1.53258402042481,0.125378381188869,0.33702757491988
"ENSGALG00000028064",0.150066992912624,0.0314915739369107,0.211725819352024,0.148737523053584,0.881760751434075,NA
"ENSGALG00000008823",9.50299661957186,0.606131033593333,0.294333822461774,2.05933191273678,0.0394624533583735,0.176144311982423
"ENSGALG00000008836",226.515314820327,0.41830999502777,0.216191940714157,1.93490096645576,0.0530024495887558,0.20728334813146
"ENSGALG00000008874",1.27542006865192,-0.0338185087305421,0.363069194702425,-0.0931461804636444,0.925787430177992,NA
"ENSGALG00000008926",36.5029504363146,0.0192752249247714,0.294071889539297,0.0655459620944002,0.947739312529779,0.976656291762803
"ENSGALG00000008953",36.2178106418594,-0.0795534696942326,0.300483332591671,-0.264751688581471,0.79120075604544,0.901407431657551
"ENSGALG00000008961",27.552189635109,-0.524987643616518,0.37127072231848,-1.41402920310581,0.157353328219095,0.384035747120212
"ENSGALG00000026138",0.0600200735040945,0.0126641429473195,0.122994635061813,0.102965002830854,0.917990746976293,NA
"ENSGALG00000008975",293.219544223835,-0.137322610904844,0.149538804098452,-0.918307537182352,0.358457882424293,0.603137252021788
"ENSGALG00000028069",3.73925302381033,-1.06316475309367,0.377929351941456,-2.81313094003443,0.00490616685079243,0.0558559662376581
"ENSGALG00000009002",12.8315926376706,-0.383430058555177,0.352615126247301,-1.0873897062665,0.276864618471835,0.527118431553388
"ENSGALG00000025216",0.0252520009491998,0.0326126766401904,0.078684373197341,0.414474632191547,0.678526541542822,NA
"ENSGALG00000009023",241.896737612801,-1.03910224276936,0.187734778137703,-5.53494804253683,3.11320628145223e-08,1.94938599990267e-05
"ENSGALG00000009029",106.265046003629,-0.221936412362734,0.2548386136744,-0.870890047480386,0.383814191508728,0.627224844496865
"ENSGALG00000009066",5.01157287230074,0.155212794964891,0.377972688353326,0.410645530080731,NA,NA
"ENSGALG00000009104",149.931115890637,-0.346897473093739,0.245613670089905,-1.41237038218092,0.15784093254894,0.384487821646661
"ENSGALG00000009110",860.375759029013,-0.0468249807352762,0.205170351954205,-0.228224888680445,0.819471413589347,0.917570266497669
"ENSGALG00000009134",46.660161948002,-0.123041556946112,0.300826684920694,-0.409011444508485,0.682531262457651,0.839551441575923
"ENSGALG00000009324",0.523177399895046,-0.126110065611989,0.329242539726027,-0.383030897881329,0.701696854710551,NA
"ENSGALG00000029113",0.162447834713465,-0.0105134608491084,0.19189961105986,-0.0547862540785913,0.956308751610947,NA
